chr	start	end	V6	V4
chr2	27587218	27593324	-	NM_001034116
chr3	52017299	52023218	+	NM_001198895
chr3	39509063	39570988	+	NR_003090
chr17	65821779	65980494	+	NM_182641
chr17	40724327	40729849	-	NM_001256016
chr1	182350838	182361341	-	NM_001033044
chr3	120315127	120321258	+	NM_004547
chr3	131100624	131107674	+	NR_033268
chr2	27848505	27851745	-	NM_001142683
chr2	10184371	10194963	+	NM_001177718
chr1	206516199	206581301	+	NM_001271872
chr3	188280024	188286454	-	NR_046623
chr17	34842470	34855154	+	NR_104011
chr3	49758908	49761407	-	NM_013334
chr1	110753335	110776674	+	NR_036437
chr1	24865763	24882515	-	NR_109781
chr22	31518908	31530683	+	NM_001284286
chr3	194815316	194816786	+	NR_104188
chr3	27757439	27764206	-	NM_001278182
chr1	26644410	26647014	+	NM_001803
chr1	152551859	152552980	-	NM_032563
chr1	27938800	27952751	-	NM_001042747
chr9	36214438	36277053	-	NM_001190388
chr17	28521336	28562986	-	NM_001045
chr17	34415602	34417506	-	NM_002983
chr3	14989090	15090786	+	NM_003298
chr3	129800673	129817233	+	NM_001136152
chr1	152004981	152009511	-	NM_005620
chr7	16127151	16460947	-	NM_001101426
chr22	28315363	28320951	+	NR_026962
chr1	202860229	202896371	-	NM_021633
chr17	39868577	39872221	+	NM_000805
chr22	39708886	39715670	-	NM_000967
chr22	24823529	24838328	+	NM_001278499
chr7	33169151	33645680	+	NM_198428
chr2	20883773	21022890	-	NM_001282720
chr1	145470507	145475647	+	NM_001039888
chr22	21396680	21398538	-	NR_002829
chr1	222763261	222765975	+	NR_110613
chr3	166958076	167098071	-	NM_001199202
chr22	25714223	25716193	+	NR_029395
chr1	28879528	28905057	+	NM_017846
chr3	171318194	171528284	-	NM_002662
chr17	34231223	34238027	-	NR_126038
chr1	197473878	197744623	-	NR_125340
chr1	168148082	168161633	+	NM_001031800
chr3	62247493	62304622	-	NR_038283
chr3	52558384	52567793	-	NM_001134231
chr22	38226861	38240353	-	NM_138797
chr1	175291934	175712752	-	NM_003285
chr17	37913967	38020441	-	NM_001284515
chr1	28585962	28609002	+	NM_031459
chr1	147954634	147955419	-	NM_001143883
chr3	154797952	154901518	+	NM_007288
chr1	211831598	211848972	-	NM_001204182
chr22	51061181	51066601	-	NM_001085425
chr9	21994789	22121093	+	NR_003529
chr17	43973148	43976164	+	NR_024560
chr1	178062863	178448648	+	NM_170692
chr1	111982511	111991830	-	NM_024102
chr7	73082173	73086440	+	NM_001077621
chr22	51205919	51222087	-	NM_001130919
chr7	73442118	73484236	+	NM_001278915
chr3	150690464	150797617	+	NR_024066
chr2	26403584	26412532	+	NM_001191033
chr1	150336586	150449041	+	NM_001297673
chr1	13409127	13414502	+	NM_001039361
chr17	46668618	46671103	-	NM_002147
chr2	47129008	47143007	-	NM_139279
chr3	48663155	48672926	-	NM_001281732
chr3	189507448	189615068	+	NM_001114980
chr22	37600276	37606729	-	NM_001278687
chr7	72476618	72520245	+	NR_027776
chr1	175913961	176176380	-	NM_001286644
chr7	44084238	44101315	+	NM_001014436
chr1	208195587	208417665	-	NM_025179
chr2	68361224	68384692	-	NM_001256476
chr3	52847005	52864717	-	NM_001166449
chr1	213165523	213189217	-	NR_125333
chr1	173768687	173793777	-	NM_001127181
chr3	167727653	167813417	-	NM_014498
