chr	start	end	V6	V4
chr2	68592321	68624585	+	NM_002664
chr12	58218391	58218475	-	NR_029847
chr6	97010423	97064512	+	NM_001170807
chr22	46731297	46753237	+	NM_001282782
chr2	242053049	242088919	-	NM_001252124
chr5	1317999	1345002	-	NM_030782
chr3	10327433	10334631	-	NR_024132
chrX	75392763	75398145	+	NM_001300888
chr5	137225124	137276156	+	NM_001258449
chr21	31933416	31933608	-	NM_181614
chr3	183165395	183173800	+	NR_038302
chr2	88056717	88125286	-	NM_001078170
chr2	114648174	114719129	+	NM_001277140
chrX	120101740	120105058	-	NM_173571
chr7	99775365	99812010	+	NM_001282718
chr13	99906966	99910682	-	NM_005292
chr5	70196495	70203942	+	NM_001178087
chr2	232373136	232379050	-	NR_024079
