chr	start	end	V4	V6
chr1	183441505	183523328	NM_201568	+
chr1	182419255	182529732	NM_001137669	+
chr1	179262848	179327814	NM_003101	+
chr1	183441505	183523328	NM_173156	+
chr1	183441505	183523328	NM_001174061	+
chr1	178062863	178448648	NM_170692	+
chr1	183441505	183523328	NM_201569	+
chr1	179262848	179327814	NR_045530	+
chr1	186640943	186649559	NM_000963	-
chr1	197122813	197169672	NM_194314	-
chr1	198126107	198291548	NM_133494	+
chr1	206516199	206581301	NM_001271872	+
chr1	206516199	206637783	NM_015326	+
chr1	202317829	202407370	NM_001167858	+
chr1	202317829	202407370	NM_001167857	+
chr1	206557366	206581301	NR_120535	+
chr1	202317829	202557697	NM_002481	+
chr1	206516199	206580070	NM_001271870	+
chr1	206516199	206629507	NM_001300952	+
chr1	206516199	206637783	NM_001170637	+
chr1	210502249	210849638	NM_001170587	+
chr1	210502249	210849638	NM_001170588	+
chr1	210501595	210849638	NM_001122834	+
chr1	216676587	217311097	NM_001134285	-
chr1	212859758	212873327	NM_018664	-
chr1	210501595	210849638	NM_001170564	+
chr1	216676587	217113017	NM_001243511	-
chr1	210502639	210849638	NM_001170580	+
chr1	216676587	217263196	NM_001243505	-
chr1	216676587	217250312	NM_001243509	-
chr1	216676587	217250312	NM_001243507	-
chr1	216676587	217262987	NM_001243506	-
chr1	210502249	210849638	NM_018194	+
chr1	216676587	217113017	NM_001243510	-
chr1	216676587	217113015	NM_001243512	-
chr1	215796235	216596738	NM_206933	-
chr1	216676587	217113015	NM_001243513	-
chr1	216676587	217262987	NM_206595	-
chr1	216676587	217262987	NM_206594	-
chr1	220141941	220220000	NM_004446	-
chr1	220046618	220292777	NR_002753	+
chr1	225117355	225586996	NM_001373	+
chr1	231664398	231954990	NR_028395	+
chr1	231664398	231954990	NR_028394	+
chr1	231664398	231838307	NR_028399	+
chr1	229577043	229644088	NM_018230	-
chr1	231727037	231747836	NR_034037	-
chr1	228581376	228594517	NM_145214	-
chr1	231664398	231954990	NR_028398	+
chr1	231664398	231954990	NR_028397	+
chr1	231664398	231954990	NR_028396	+
chr1	231664398	232177019	NR_028393	+
chr1	231664398	231886365	NR_028400	+
chr1	240938813	241520530	NM_001282773	-
chr1	240938813	241520530	NM_001282775	-
chr1	240938813	241520530	NM_001282778	-
chr1	236958580	237067281	NM_000254	+
chr1	240938813	241520530	NM_002924	-
chr1	235824330	236030227	NM_000081	-
chr1	236958580	237067281	NM_001291939	+
chr1	238025474	238091619	NR_027247	+
chr1	236958580	237067281	NM_001291940	+
chr1	235824330	236047008	NM_001301365	-
chr1	247463621	247495045	NM_032752	-
chr1	245912641	246670644	NM_001167740	-
chr1	245912641	246580714	NM_022743	-
chr1	245318286	245866428	NM_018012	+
chr1	248512076	248513015	NM_001001918	+
chr1	763177	794826	NR_047525	+
chr1	762970	794826	NR_047524	+
chr1	762970	794826	NR_047523	+
chr1	762970	794826	NR_047521	+
chr1	762970	794826	NR_047519	+
chr1	1682670	1709909	NM_023018	-
chr1	1570602	1655859	NM_001787	-
chr1	1177825	1182102	NM_001014980	-
chr1	1570602	1655859	NM_033489	-
chr1	1570602	1655859	NM_033486	-
chr1	1570602	1655859	NM_033490	-
chr1	1682670	1711508	NM_001198994	-
chr1	1682670	1710297	NM_001198993	-
chr1	1309109	1310818	NM_017900	-
chr1	1570602	1655859	NM_001291345	-
chr1	1570602	1655859	NM_033487	-
chr1	2487803	2497061	NM_001297605	+
chr1	2160133	2241652	NM_003036	+
chr1	2572806	2706230	NM_001242672	-
chr1	2487803	2497061	NM_003820	+
chr1	3773830	3801993	NM_004402	+
chr1	3773830	3801993	NM_001282669	+
chr1	3668964	3688209	NM_152492	+
chr1	3404505	3528059	NM_001409	-
chr1	3773830	3801993	NR_104222	+
chr1	4715104	4843851	NM_018836	+
chr1	4715104	4837854	NM_001042478	+
chr1	5922867	6052533	NR_111987	-
chr1	6094347	6161253	NM_001199860	+
chr1	6086072	6161253	NM_172130	+
chr1	6106173	6161253	NM_001199863	+
chr1	6105980	6161253	NM_001199862	+
chr1	6086072	6161253	NM_003636	+
chr1	6052357	6161253	NM_001199861	+
chr1	5922867	6052533	NM_001291593	-
chr1	5922867	6052533	NM_001291594	-
chr1	5922867	6052533	NM_015102	-
chr1	6526151	6557156	NM_001265592	-
chr1	6845383	6948261	NM_001242701	+
chr1	6324331	6453826	NM_007274	-
chr1	6324331	6445883	NM_181864	-
chr1	6845383	6948261	NR_038934	+
chr1	6526151	6557484	NM_001042663	-
chr1	6526151	6580121	NM_198681	-
chr1	7975930	8003225	NM_001561	-
chr1	7844488	7905240	NM_001289864	+
chr1	7844488	7905240	NM_001289862	+
chr1	7844488	7905240	NM_001289863	+
chr1	7844488	7905240	NM_001289861	+
chr1	7844488	7905240	NM_016831	+
chr1	8412463	8877699	NM_001042681	-
chr1	8412463	8877699	NM_012102	-
chr1	9294862	9331394	NM_004285	+
chr1	9299902	9331394	NM_001282587	+
chr1	9164475	9189229	NM_024980	-
chr1	9789078	9884550	NM_014944	-
chr1	10093040	10241296	NM_001105562	+
chr1	9908333	9970316	NM_020248	-
chr1	10270763	10368655	NM_183416	+
chr1	10270763	10441661	NM_015074	+
chr1	10093040	10241296	NM_006048	+
chr1	9789078	9884550	NM_001009566	-
chr1	9908333	9970316	NM_001012329	-
chr1	11126675	11159938	NM_002685	-
chr1	11166587	11322608	NM_004958	-
chr1	10696665	10856733	NM_001079843	-
chr1	11006529	11042094	NM_001170754	-
chr1	10535002	10690815	NM_004565	+
chr1	10707262	10856733	NM_017766	-
chr1	11126675	11159938	NM_001001998	-
chr1	11796141	11810828	NM_001040195	+
chr1	12290112	12572098	NM_015378	+
chr1	11796141	11810828	NM_001040194	+
chr1	11796141	11810828	NM_001040197	+
chr1	11796141	11810828	NM_020350	+
chr1	11796141	11810828	NM_001040196	+
chr1	12040237	12073572	NM_014874	+
chr1	12040237	12073572	NM_001127660	+
chr1	12290112	12572098	NM_018156	+
chr1	12123433	12204264	NM_001243	+
chr1	12123433	12204264	NM_001281430	+
chr1	12704565	12727097	NM_001013630	+
chr1	15573767	15724622	NM_052929	+
chr1	15438310	15478960	NR_027136	-
chr1	14925212	15394651	NM_015209	+
chr1	15256295	15394651	NM_001018001	+
chr1	15250624	15394651	NM_001018000	+
chr1	14925212	15444544	NM_201628	+
chr1	15272414	15394651	NM_001017999	+
chr1	15853307	15898228	NM_015291	+
chr1	16576558	16678948	NM_018994	-
chr1	15853307	15898228	NM_001287811	+
chr1	16174358	16266950	NM_015001	+
chr1	15853307	15898228	NR_109898	+
chr1	17300998	17307173	NM_002403	-
chr1	17300998	17308081	NM_001135247	-
chr1	17300998	17308081	NM_017459	-
chr1	16888921	16940100	NM_017940	-
chr1	17393255	17445948	NM_007365	-
chr1	17300998	17307173	NM_001135248	-
chr1	17017712	17046652	NR_026567	-
chr1	17531620	17572501	NM_013358	+
chr1	17866329	18024370	NM_018125	+
chr1	18081807	18153558	NM_030812	+
chr1	18434239	18704977	NM_032880	+
chr1	17907047	18024370	NM_001011722	+
chr1	18957499	19062632	NM_002584	+
chr1	19230773	19282826	NM_001136265	-
chr1	18957499	19062632	NM_013945	+
chr1	19400999	19536746	NM_020765	-
chr1	18957499	19075360	NM_001135254	+
chr1	19665266	19811201	NM_001282162	-
chr1	19665266	19812135	NM_004930	-
chr1	19665266	19812135	NM_001206541	-
chr1	19665266	19812135	NM_001206540	-
chr1	20686293	20755287	NR_033887	-
chr1	20008705	20126410	NM_181719	-
chr1	21267737	21501251	NM_001198803	-
chr1	21132784	21503381	NM_001198801	-
chr1	21835857	21904905	NM_001177520	+
chr1	21835857	21904905	NM_001127501	+
chr1	21835857	21904905	NM_000478	+
chr1	21132784	21437876	NM_003760	-
chr1	21132784	21503381	NM_001198802	-
chr1	21069170	21113181	NM_016287	-
chr1	21543739	21672034	NM_001113348	-
chr1	22379119	22419436	NM_001791	+
chr1	22778343	22857650	NM_014870	+
chr1	22778343	22857650	NM_001083621	+
chr1	22148724	22263790	NM_005529	-
chr1	22148724	22263790	NM_001291860	-
chr1	22379119	22417296	NM_044472	+
chr1	22379119	22419436	NM_001039802	+
chr1	22138757	22151714	NM_001013693	+
chr1	23410515	23495351	NM_033631	-
chr1	23707554	23751261	NM_003196	-
chr1	23410515	23495351	NM_001142546	-
chr1	23832919	23857712	NM_004091	-
chr1	24480646	24513765	NM_173064	-
chr1	24742244	24799473	NM_020448	+
chr1	24480646	24513765	NM_170743	-
chr1	24480646	24513765	NM_173065	-
chr1	24882566	24935818	NM_001010980	+
chr1	25688739	25747363	NM_020485	-
chr1	25943958	26112698	NM_020379	+
chr1	25688739	25747363	NM_138618	-
chr1	25688739	25747363	NM_138617	-
chr1	25688739	25747363	NM_138616	-
chr1	25943958	26112698	NM_001289010	+
chr1	25757348	25826698	NM_018202	+
chr1	25757348	25826698	NM_001282564	+
chr1	26856248	26901520	NM_002953	+
chr1	26606212	26608013	NM_031286	+
chr1	26737268	26756219	NM_024674	+
chr1	27730733	27816678	NM_006990	-
chr1	27648635	27662891	NR_037576	+
chr1	27860755	27930005	NM_001029882	-
chr1	27648635	27662891	NM_032125	+
chr1	27648635	27662891	NR_037580	+
chr1	27648635	27662891	NR_037577	+
chr1	27730733	27816678	NM_001201404	-
chr1	28696092	28826881	NM_001048183	+
chr1	28929608	28969604	NM_001135218	-
chr1	28929608	28969604	NM_005644	-
chr1	28832454	28837404	NR_036473	+
chr1	28832454	28865708	NR_030726	+
chr1	28832454	28837404	NR_002909	+
chr1	28832454	28865708	NR_030725	+
chr1	28832454	28865708	NM_001048199	+
chr1	29563027	29653325	NM_005704	+
chr1	29563027	29653325	NM_001195001	+
chr1	29474249	29508637	NM_005626	-
chr1	29563027	29653325	NM_133178	+
chr1	29563027	29653325	NM_133177	+
chr1	31184123	31196432	NM_002379	-
chr1	31191618	31199593	NR_034182	+
chr1	32372021	32385259	NM_001195100	-
chr1	32372021	32385259	NM_001195101	-
chr1	32372021	32403988	NM_080391	-
chr1	33283042	33324480	NM_001256121	+
chr1	33283118	33324480	NM_022753	+
chr1	33145506	33168361	NM_030786	-
chr1	33004745	33071551	NM_001291496	+
chr1	33145506	33168361	NM_001161708	-
chr1	33004745	33071551	NR_111980	+
chr1	32573643	32642168	NM_012316	+
chr1	33004745	33071551	NM_001040441	+
chr1	32757707	32799224	NM_004964	+
chr1	33402046	33430414	NM_001127361	-
chr1	33402046	33430414	NM_153341	-
chr1	33402046	33430414	NM_001300826	-
chr1	33789223	33841194	NM_198040	-
chr1	33938231	33961995	NM_145238	+
chr1	34334556	34351059	NR_038372	+
chr1	33815952	33828846	NR_125978	+
chr1	35331036	35395186	NM_001080418	-
chr1	35734567	35887545	NM_005095	+
chr1	36396682	36522063	NM_177422	+
chr1	36396682	36522063	NM_024852	+
chr1	36560836	36590685	NM_005202	-
chr1	35899090	36023037	NM_024874	-
chr1	36273827	36323490	NM_017629	+
chr1	36038970	36060927	NM_178548	+
chr1	36560836	36590685	NM_001294347	-
chr1	36805219	36851528	NM_032017	-
chr1	37261127	37499844	NM_000831	-
chr1	36805219	36851528	NM_001282547	-
chr1	36805219	36851528	NM_001282546	-
chr1	38268613	38273865	NM_024640	-
chr1	38000049	38019945	NM_024700	-
chr1	38326368	38412729	NM_005540	-
chr1	39303868	39325495	NM_022157	-
chr1	39303868	39325495	NM_001271851	-
chr1	40627040	40706593	NM_012421	+
chr1	40223902	40254533	NM_001720	-
chr1	39957317	39995541	NM_181809	+
chr1	41249683	41306124	NM_172163	+
chr1	41492870	41625605	NM_001172222	-
chr1	41492870	41707815	NM_012236	-
chr1	41492870	41707815	NM_001172218	-
chr1	41492870	41707815	NM_001172220	-
chr1	41249683	41306124	NM_004700	+
chr1	41492870	41707815	NM_001172219	-
chr1	41492870	41628689	NM_001172221	-
chr1	41154751	41157933	NR_024567	-
chr1	41492870	41627104	NM_001031694	-
chr1	42642209	42800886	NM_001198852	-
chr1	42642209	42800636	NM_001198851	-
chr1	42642209	42801548	NM_001198850	-
chr1	41972035	42384378	NM_024503	-
chr1	41972035	42384378	NM_001127714	-
chr1	42642209	42800903	NM_014947	-
chr1	42846467	42889900	NM_173642	+
chr1	42312859	42501596	NR_038261	-
chr1	42312859	42384496	NR_038260	-
chr1	43253660	43263901	NM_001242750	+
chr1	43766565	43788781	NM_005424	+
chr1	43638000	43676549	NM_001167965	+
chr1	43638000	43720029	NM_001195831	+
chr1	43638000	43676549	NM_152498	+
chr1	43766565	43788781	NM_001253357	+
chr1	43855555	43919918	NM_015284	+
chr1	44173203	44396837	NM_001270463	+
chr1	44173203	44396837	NM_001270464	+
chr1	44173203	44396837	NR_073021	+
chr1	44173203	44396837	NR_073020	+
chr1	44173203	44396837	NR_073019	+
chr1	44173203	44396837	NR_073018	+
chr1	44173203	44396837	NM_001270459	+
chr1	44173203	44396837	NM_174970	+
chr1	44686741	44820951	NM_001301698	-
chr1	44173203	44396837	NM_001270460	+
chr1	44173203	44396837	NM_001270461	+
chr1	44173203	44396837	NM_001270462	+
chr1	44412477	44433694	NM_014652	+
chr1	44173203	44396837	NM_174971	+
chr1	44686741	44820951	NM_001301699	-
chr1	44173203	44396837	NM_006279	+
chr1	44173203	44396837	NM_001270465	+
chr1	44173203	44396837	NM_174966	+
chr1	44173203	44396837	NM_174965	+
chr1	44173203	44396837	NM_174964	+
chr1	44165408	44173012	NR_033827	-
chr1	44173203	44396837	NM_174969	+
chr1	44173203	44396837	NM_001270466	+
chr1	44173203	44396837	NM_174968	+
chr1	44173203	44396837	NM_174967	+
chr1	44173203	44396837	NR_073023	+
chr1	44173203	44396837	NR_073017	+
chr1	44173203	44396837	NM_174963	+
chr1	44173203	44396837	NR_073016	+
chr1	44688266	44709955	NR_110056	-
chr1	44686741	44820951	NM_001301701	-
chr1	44686741	44820951	NM_001301700	-
chr1	44686741	44820951	NM_024066	-
chr1	45340200	45452394	NM_001166588	-
chr1	45316193	45452394	NM_001261418	-
chr1	45809554	45956840	NM_007170	-
chr1	45316193	45452394	NM_020365	-
chr1	45212033	45233438	NM_001297656	+
chr1	45482075	45672250	NM_020883	-
chr1	45205489	45233438	NM_006845	+
chr1	45205489	45233438	NM_001297655	+
chr1	45212033	45233438	NM_001297657	+
chr1	46654352	46664121	NM_017739	-
chr1	46505811	46598708	NM_001114172	-
chr1	46505811	46598380	NM_003629	-
chr1	46269284	46501796	NM_015112	+
chr1	47023078	47069966	NR_024176	-
chr1	46654352	46685977	NM_001243766	-
chr1	46654352	46663171	NM_001290130	-
chr1	47023078	47069966	NM_001135553	-
chr1	47023078	47069966	NM_003684	-
chr1	47023078	47069966	NR_024174	-
chr1	47023078	47069966	NM_198973	-
chr1	46654352	46663171	NM_001290129	-
chr1	47799468	47844511	NM_016308	+
chr1	47308766	47366147	NR_002788	-
chr1	47799468	47844511	NR_046394	+
chr1	47533159	47583992	NM_178134	+
chr1	47799468	47844511	NM_001136140	+
chr1	48761043	48937880	NM_001286239	-
chr1	48761043	48937880	NM_001286238	-
chr1	48567386	48648100	NR_026749	-
chr1	48761043	48937880	NM_019073	-
chr1	50513685	50669457	NM_001144777	+
chr1	50571936	50669457	NM_001144775	+
chr1	50574591	50669457	NM_001144774	+
chr1	50569581	50669457	NM_001144776	+
chr1	50574591	50669457	NM_021952	+
chr1	50575287	50669457	NM_001294348	+
chr1	51752929	51787940	NM_001297665	-
chr1	52082545	52254891	NM_148909	+
chr1	51752929	51787940	NM_001080494	-
chr1	52082545	52254891	NM_024586	+
chr1	52254865	52344609	NM_001101662	-
chr1	51819934	51984995	NM_001981	-
chr1	52254865	52344609	NM_002525	-
chr1	52082545	52254891	NM_148908	+
chr1	52082545	52254891	NM_148906	+
chr1	51752929	51810788	NM_001144832	-
chr1	51752929	51795874	NM_001297664	-
chr1	52254865	52343712	NM_001242361	-
chr1	52082545	52254891	NR_036662	+
chr1	51761209	51796236	NM_001297662	-
chr1	51752929	51796236	NM_001297663	-
chr1	53192130	53293013	NM_024646	+
chr1	52888947	53018762	NM_015269	-
chr1	52607765	52812358	NM_007324	+
chr1	52607765	52812358	NM_004799	+
chr1	52816264	52831877	NM_032449	-
chr1	52888947	53018762	NM_001009881	-
chr1	53308182	53360247	NM_001004339	+
chr1	53708040	53793821	NM_033300	-
chr1	54387233	54411288	NM_016126	-
chr1	53708040	53793821	NM_004631	-
chr1	54231133	54304225	NM_018087	-
chr1	54231133	54304225	NM_001168551	-
chr1	53708040	53793821	NM_017522	-
chr1	53708040	53793821	NM_001018054	-
chr1	54231133	54304225	NR_033142	-
chr1	53971905	54199877	NM_147193	-
chr1	54638026	54665746	NM_001031672	-
chr1	55013806	55076005	NM_147161	+
chr1	55013806	55100417	NM_015547	+
chr1	55107412	55208328	NR_037640	+
chr1	55107412	55208328	NR_037639	+
chr1	54691103	54872068	NM_018070	-
chr1	54691103	54872068	NM_001009955	-
chr1	54691103	54872068	NM_145716	-
chr1	55107412	55208328	NR_037641	+
chr1	57110989	57181008	NM_006252	+
chr1	57184476	57285369	NM_001004303	-
chr1	56960418	57045257	NM_003713	-
chr1	57394882	57431813	NM_001278544	-
chr1	57394882	57431813	NM_001278543	-
chr1	57394882	57431813	NM_000066	-
chr1	58326214	58328786	NR_104364	+
chr1	58326214	58328786	NR_104363	+
chr1	58326214	58328654	NR_104365	+
chr1	58326214	58328786	NR_104362	+
chr1	58946390	59012446	NM_145243	-
chr1	59486147	59553919	NR_110626	+
chr1	59981300	60228402	NM_001278224	+
chr1	59775749	60228402	NM_001244714	+
chr1	60280532	60342050	NM_015888	+
chr1	61125302	61291256	NR_110628	-
chr1	62701836	62785083	NM_181712	-
chr1	62208148	62629591	NM_176877	+
chr1	63249776	63330941	NM_032852	+
chr1	62920396	63154039	NM_001272001	-
chr1	63249776	63330941	NM_178221	+
chr1	63624753	63782901	NR_038252	-
chr1	62920396	63154039	NM_033407	-
chr1	62920396	63154039	NM_001272000	-
chr1	62920396	63154039	NM_001271999	-
chr1	64239689	64647179	NM_005012	+
chr1	64059479	64125916	NM_001172819	+
chr1	64088886	64125916	NM_001172818	+
chr1	64058946	64125916	NM_002633	+
chr1	64239689	64609052	NM_001083592	+
chr1	65775217	65881552	NM_001256864	+
chr1	65210777	65298914	NM_018211	+
chr1	65613849	65697828	NM_013410	+
chr1	65730376	65881552	NM_014787	+
chr1	65613231	65697828	NM_203464	+
chr1	65298905	65432187	NM_002227	-
chr1	65730376	65881552	NM_001256865	+
chr1	65613512	65697828	NM_001005353	+
chr1	66378927	66840262	NM_001297441	+
chr1	66258855	66840262	NM_002600	+
chr1	66258192	66840262	NM_001037341	+
chr1	66458298	66840262	NM_001037340	+
chr1	66258192	66840262	NM_001297440	+
chr1	67303281	67390570	NM_207014	-
chr1	67278571	67390570	NM_024763	-
chr1	67465014	67520080	NM_015139	-
chr1	67873492	67896123	NM_015640	-
chr1	67218139	67244730	NM_152665	+
chr1	67873492	67896123	NM_001018068	-
chr1	67632168	67725650	NM_144701	+
chr1	67873492	67896123	NM_001018067	-
chr1	67873492	67896123	NM_001018069	-
chr1	68591040	68698284	NM_024911	-
chr1	68939834	68962904	NM_001114120	-
chr1	68939834	68962904	NM_017779	-
chr1	68591040	68698229	NM_001193334	-
chr1	68297970	68668670	NR_040077	+
chr1	68167148	68299155	NM_018841	-
chr1	68564141	68698229	NM_001002292	-
chr1	70385004	70386000	NR_023916	+
chr1	70724684	70820417	NM_030816	-
chr1	70610484	70671361	NM_017768	-
chr1	71318035	71513491	NM_198717	-
chr1	71547006	71703406	NR_046217	+
chr1	71318035	71513491	NM_198714	-
chr1	71418114	71513491	NM_198718	-
chr1	71318035	71513491	NM_198716	-
chr1	71418114	71513491	NM_001126044	-
chr1	71318035	71513491	NR_028294	-
chr1	71318035	71513491	NR_028293	-
chr1	71318035	71513491	NR_028292	-
chr1	73771852	73804560	NR_110676	+
chr1	74701070	75010116	NM_015978	+
chr1	74663895	75010116	NM_001112808	+
chr1	74663895	74930609	NM_001199327	+
chr1	74491701	74663871	NM_001105659	-
chr1	75033794	75139422	NM_001002912	-
chr1	76262555	76378923	NM_002440	+
chr1	75672074	76076799	NM_152697	-
chr1	75667815	76076799	NM_001130058	-
chr1	77333185	77529737	NM_030965	+
chr1	78354199	78409578	NM_001172309	+
chr1	77747661	78025654	NM_174858	+
chr1	77748286	78025654	NM_012093	+
chr1	78030189	78148343	NM_015534	-
